size_bytes,round_index,enc_ns,dec_ns,energy_mWh
1024,1,478900,1230100,0.008548
1024,2,161500,1787900,0.008548
1024,3,157000,846700,0.008548
1024,4,446500,757300,0.008548
1024,5,156700,1229100,0.008548
1024,6,3726300,1338900,0.008548
1024,7,366800,1046000,0.008548
1024,8,170800,660100,0.008548
1024,9,141500,695600,0.008548
1024,10,169000,650200,0.008548
1024,11,171500,659500,0.008548
1024,12,317100,649900,0.008548
1024,13,140700,792800,0.008548
1024,14,155200,622900,0.008548
1024,15,136400,935600,0.008548
2048,1,316600,1988800,0.008527
2048,2,433300,988400,0.008527
2048,3,247900,916900,0.008527
2048,4,287000,960900,0.008527
2048,5,181500,1187600,0.008527
2048,6,201100,677100,0.008527
2048,7,173500,686900,0.008527
2048,8,168700,671700,0.008527
2048,9,177600,799200,0.008527
2048,10,174500,656200,0.008527
2048,11,172200,730600,0.008527
2048,12,176600,676300,0.008527
2048,13,174400,934600,0.008527
2048,14,206700,820500,0.008527
2048,15,202300,677700,0.008527
4096,1,436900,1042500,0.008552
4096,2,283800,804500,0.008552
4096,3,236100,818500,0.008552
4096,4,240200,1093600,0.008552
4096,5,278200,778700,0.008552
4096,6,242500,767000,0.008552
4096,7,231900,779000,0.008552
4096,8,335800,1107000,0.008552
4096,9,349400,792600,0.008552
4096,10,852100,2018400,0.008552
4096,11,245800,865700,0.008552
4096,12,244500,1860200,0.008552
4096,13,331200,2859900,0.008552
4096,14,562800,1224600,0.008552
4096,15,378400,761100,0.008552
8192,1,557300,1255900,0.008550
8192,2,388900,1047300,0.008550
8192,3,418700,1294200,0.008550
8192,4,385100,950500,0.008550
8192,5,396000,1059500,0.008550
8192,6,395000,1851000,0.008550
8192,7,2913100,2592300,0.008550
8192,8,596800,1230800,0.008550
8192,9,369100,1050700,0.008550
8192,10,401300,1019400,0.008550
8192,11,389300,1062900,0.008550
8192,12,357400,973000,0.008550
8192,13,400000,1012200,0.008550
8192,14,728800,1065000,0.008550
8192,15,362500,1252300,0.008550
16384,1,733500,1420900,0.008490
16384,2,989600,1435300,0.008490
16384,3,699100,1599800,0.008490
16384,4,676700,2372300,0.008490
16384,5,1187700,3817400,0.008490
16384,6,965900,1586300,0.008490
16384,7,587000,1249300,0.008490
16384,8,617500,1434500,0.008490
16384,9,659100,1565000,0.008490
16384,10,639000,1480000,0.008490
16384,11,656600,1305200,0.008490
16384,12,581600,1455500,0.008490
16384,13,662000,1307900,0.008490
16384,14,659000,1540000,0.008490
16384,15,678500,1379900,0.008490
32768,1,1253000,2189300,0.008500
32768,2,1546400,2142000,0.008500
32768,3,1354500,2367300,0.008500
32768,4,1454000,2369500,0.008500
32768,5,1412900,4310100,0.008500
32768,6,3216700,2594100,0.008500
32768,7,1133000,2245400,0.008500
32768,8,1349800,2252500,0.008500
32768,9,1302600,2353700,0.008500
32768,10,1210600,2403800,0.008500
32768,11,1215100,3279200,0.008500
32768,12,2659500,4746900,0.008500
32768,13,1188500,2122200,0.008500
32768,14,1372100,2195600,0.008500
32768,15,1366600,2382200,0.008500
65536,1,2721500,8603400,0.016967
65536,2,2605300,3487500,0.016967
65536,3,2306600,3873400,0.016967
65536,4,2565400,3670000,0.016967
65536,5,2199400,3641500,0.016967
65536,6,2327500,4709600,0.016967
65536,7,2164100,7600000,0.016967
65536,8,2689700,4120500,0.016967
65536,9,2310600,3755700,0.016967
65536,10,2187900,4224400,0.016967
65536,11,3299800,7369000,0.016967
65536,12,2275000,4035000,0.016967
65536,13,2743100,3831400,0.016967
65536,14,2245300,4404900,0.016967
65536,15,2258700,6776000,0.016967
131072,1,7387500,7099000,0.026205
131072,2,4238200,10370200,0.026205
131072,3,4485300,7445400,0.026205
131072,4,4867000,10760100,0.026205
131072,5,4657800,6959400,0.026205
131072,6,4680300,10663700,0.026205
131072,7,4512900,7338400,0.026205
131072,8,4689100,11127800,0.026205
131072,9,4298800,7351500,0.026205
131072,10,4637200,10644900,0.026205
131072,11,4489000,6969200,0.026205
131072,12,4694800,11976500,0.026205
131072,13,5311800,7393100,0.026205
131072,14,4425400,11221000,0.026205
131072,15,4543500,9027000,0.026205
262144,1,8974100,16763600,0.034141
262144,2,9280400,17009100,0.034141
262144,3,8602600,16861700,0.034141
262144,4,9650400,13660500,0.034141
262144,5,11981500,13999700,0.034141
262144,6,9288800,17733900,0.034141
262144,7,8590000,16467600,0.034141
262144,8,8650100,18064100,0.034141
262144,9,8617800,13593600,0.034141
262144,10,8830100,17185300,0.034141
262144,11,9354800,18767900,0.034141
262144,12,8782500,17224800,0.034141
262144,13,8655000,14050200,0.034141
262144,14,11494400,14074200,0.034141
262144,15,9573500,17225200,0.034141
524288,1,17480500,30870900,0.068633
524288,2,21524900,30696100,0.068633
524288,3,17860500,30666400,0.068633
524288,4,17327300,30443700,0.068633
524288,5,20667500,29894700,0.068633
524288,6,16701400,30385100,0.068633
524288,7,17740200,30180600,0.068633
524288,8,19708800,31020900,0.068633
524288,9,17095800,30056600,0.068633
524288,10,18079500,30880300,0.068633
524288,11,20575000,29546500,0.068633
524288,12,17601400,31446800,0.068633
524288,13,17912800,29669500,0.068633
524288,14,19938300,30734300,0.068633
524288,15,18281600,30815400,0.068633
1048576,1,35207100,59780600,0.127579
1048576,2,36957000,58933000,0.127579
1048576,3,35082300,59988700,0.127579
1048576,4,36367500,60644900,0.127579
1048576,5,35441300,59176900,0.127579
1048576,6,33599100,58682900,0.127579
1048576,7,36283800,80519400,0.127579
1048576,8,35278700,59326200,0.127579
1048576,9,35510500,58105300,0.127579
1048576,10,34387600,59285500,0.127579
1048576,11,37486100,57993900,0.127579
1048576,12,34572100,60045400,0.127579
1048576,13,34286700,59138600,0.127579
1048576,14,35561000,58105000,0.127579
1048576,15,35461300,61352700,0.127579
